date,cases
2022-06-1,0
2022-06-2,0
2022-06-3,0
2022-06-4,0
2022-06-5,0
2022-06-6,0
2022-06-7,0
2022-06-8,0
2022-06-9,0
2022-06-10,0
2022-06-11,0
2022-06-12,0
2022-06-13,0
2022-06-14,0
2022-06-15,0
2022-06-16,2
2022-06-17,3
2022-06-18,3
2022-06-19,3
2022-06-20,3
2022-06-21,3
2022-06-22,3
2022-06-23,3
2022-06-24,3
2022-06-25,3
2022-06-26,3
2022-06-27,3
2022-06-28,3
2022-06-29,3
2022-06-30,3
2022-07-1,3
2022-07-2,3
2022-07-3,3
2022-07-4,3
2022-07-5,3
2022-07-6,3
2022-07-7,3
2022-07-8,6
2022-07-9,6
2022-07-10,6
2022-07-11,6
2022-07-12,6
2022-07-13,6
2022-07-14,6
2022-07-15,10
2022-07-16,10
2022-07-17,10
2022-07-18,10
2022-07-19,10
2022-07-20,10
2022-07-21,10
2022-07-22,20
2022-07-23,20
2022-07-24,20
2022-07-25,20
2022-07-26,20
2022-07-27,20
2022-07-28,27
2022-07-29,27
2022-07-30,27
2022-07-31,27
2022-08-01,27
2022-08-02,54
2022-08-03,54
2022-08-04,54
2022-08-05,54
2022-08-06,54
2022-08-07,98
2022-08-08,98
2022-08-09,104
2022-08-10,121
